3-brasis,"viola caipira,clarinete,violoncelo",
3-cruzeiros,"baixo elétrico,guitarra,bateria",
a-banda-de-joseph-tourton,"baixo elétrico,guitarra,bateria,escaleta,flauta",
a-deriva,"piano,bateria,saxofone,flauta",
aeromocas-e-tenistas-russas,"bateria,saxofone,guitarra,baixo elétrico,teclado",
agua-de-vintem,"violão,violão 7 cordas,pandeiro,bandolim,cavaquinho",
alemao-e-rudy-arnaut,"violão,guitarra",
alessandro-penezzi-trio,violão,
alexandre-andres,flauta,
alexandre-cunha,bateria,
alexandre-gismonti,violão,
alexandre-silverio,fagote,
almir-cortes-joao-paulo-amaral,,
altamiro-carrilho,flauta,
amilton-godoy-e-debora-de-aquino,"piano,flauta",
amoy-ribas,vibrafone,
ana-fridman,piano,
andrea-drigo,violão,
andre-geraissati,violão,
andre-juarez,vibrafone,
andre-limao-queiroz,bateria,
andre-marques,piano,
andre-marques-e-vintena-brasileira,piano,
andre-mehmari,piano,
andre-mehmari-e-danilo-brito,"piano,bandolim",
andre-mehmari-e-mario-laginha,piano,
andre-moraes-e-cesar-petena,viola caipira,
aniel-someillan,"contrabaixo acústico,baixo elétrico",
anne-paceo,bateria,
antonio-adolfo,piano,
antonio-loureiro,"piano,violão",
aquilo-del-nisso,"baixo elétrico,bateria,flauta,teclado,piano",
araticum,"flauta,vibrafone,piano,bateria,contrabaixo acústico,percussão,guitarra,clarinete,saxofone,baixo elétrico",
ari-borger,"órgão hammond,piano",
arismar-do-espirito-santo,"craviola,violão,bateria,contrabaixo acústico,guitarra,piano",
armandinho-e-hamilton-de-holanda,"guitarra,bandolim",
armandinho-e-yamandu-costa,"guitarra,violão",
arrigo-barnabe,"teclado,piano",
arthur-verocai,"guitarra,violão",
autoramas,"guitarra,baixo elétrico,bateria",
azael-rodrigues-e-divina-increnca,bateria,
azymuth,"piano,teclado,bateria,baixo elétrico",
badi-assad,violão,
baiao-de-tres,"piano,contrabaixo acústico,pífano,bateria,baixo elétrico",
bamboo,"guitarra,bateria,contrabaixo acústico,saxofone,piano",
banda-black-rio,"baixo elétrico,guitarra,teclado,bateria,trombone,trompete,saxofone,percussão",
banda-jazzco,"pífano,saxofone,baixo elétrico,flautim,percussão,guitarra,piano,trompete,bateria,trombone",
banda-mantiqueira,"flauta,saxofone,bateria,guitarra,baixo elétrico,trombone,trompete,flugelhorn,flautim,percussão",
banda-sincronica,"guitarra,bateria,baixo elétrico,saxofone,trombone,trompete,flauta",
